SURVEY_ID,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_RUN_ID,RUN_NUMBER,BULK_MEASURED_ID,BULK_LENGTH_START,BULK_LENGTH_END,BULK_FISH_COUNT,BULK_FISH_WEIGHT,AGE_BAND
29322,99127,242,94882,1,13924,,,26,5900,
29322,99127,242,94883,2,13925,,,11,1800,
29336,99211,194,95019,1,13934,43,263,6335,,
29336,99211,194,95020,2,13938,53,233,363,,
29336,99214,211,95024,1,13935,53,153,369,,
29336,99216,242,95028,1,13936,,,20,7000,
29336,99216,242,95029,2,13939,,,5,2000,
29336,99217,403,95030,1,13937,43,68,40,,
29376,99561,152,95587,1,14042,83,193,54,,
29376,99563,182,95590,1,14043,78,248,119,,
29376,99564,194,95592,1,14044,43,258,3808,,
29376,99565,199,95594,1,14045,73,163,277,,
29376,99569,242,95600,1,14046,,,1,100,
29376,99570,478,95601,1,14047,63,148,24,,
29386,99691,194,95792,1,14087,53,263,7174,,
30809,95607,194,89143,1,13575,50,120,1970,,
29387,99700,182,95803,1,14088,68,108,580,,
29387,99705,199,95811,1,14089,63,118,226,,
127497,498565,194,666140,1,149665,65,153,537,,
29355,99418,152,95349,1,13986,73,133,35,,
29355,99419,153,95351,1,13987,73,123,240,,
29355,99422,193,95356,1,13988,63,108,285,,
29355,99422,193,95357,2,13990,68,108,225,,
29355,99423,194,95358,1,13989,53,198,2730,,
29355,99423,194,95359,2,13991,58,198,335,,
30808,95598,194,89130,1,13573,68,133,1080,,
30808,95602,471,89137,2,13574,,,1,10,
61820,192400,194,197460,1,30360,55,149,330,,
29469,100356,242,96903,1,14203,,,5,2500,
29469,100356,242,96904,2,14204,,,2,800,
29468,100344,242,96883,1,14200,,,1,100,
29468,100344,242,96884,2,14201,,,2,300,
29468,100344,242,96885,3,14202,,,1,70,
29396,99794,242,95977,1,14103,,,34,7000,
29396,99794,242,95978,2,14104,,,13,4000,
29434,100101,242,96485,2,14144,,,1,300,
29434,100101,242,96486,3,14145,,,2,300,
29437,100121,242,96513,1,14146,,,27,4200,
29437,100121,242,96514,2,14147,,,47,4000,
29440,100147,242,96561,1,14155,,,2,500,
29479,100437,242,97030,1,14212,,,17,4500,
29479,100437,242,97031,2,14213,,,12,2600,
130224,512429,211,685738,1,153161,,,4,,
130224,512430,194,685739,1,153162,,,4,,
130227,512435,211,685744,1,153166,,,4,,
130227,512436,194,685745,1,153167,,,2,,
130227,512437,424,685746,1,153168,,,3,,
130184,512335,211,685612,1,153094,,,2,,
130184,512336,194,685613,1,153095,,,7,,
130163,512268,193,685545,1,153037,,,1,,
130163,512269,211,685546,1,153038,,,1,,
130212,512398,211,685675,1,153144,,,1,,
130187,512343,211,685620,1,153102,,,2,,
130200,512377,211,685654,1,153127,,,2,,
130200,512378,213,685655,1,153128,,,1,,
130216,512413,211,685722,1,153146,,,1,,
130225,512431,211,685740,1,153163,,,2,,
130182,512328,194,685605,1,153087,,,2,,
130182,512329,424,685606,1,153088,,,6,,
130189,512346,211,685623,1,153105,,,4,,
130189,512347,424,685624,1,153106,,,7,,
130189,512348,342,685625,1,153107,,,1,,
28793,92938,182,84849,1,12983,58,73,552,,
28793,92938,182,84850,2,12985,53,73,58,,
28793,92940,194,84853,1,12984,58,83,972,,
28793,92940,194,84854,2,12986,53,83,351,,
28811,97012,193,91380,1,13695,53,118,1040,,
28811,97013,194,91382,1,13696,53,103,1274,,
28783,96909,193,91204,1,13674,78,108,226,,
28783,96910,194,91206,1,13675,53,103,504,,
28783,96912,211,91210,1,13676,53,73,208,,
28808,96745,194,90931,1,13645,48,103,517,,
129208,507507,194,679374,1,151814,,,7000,,
30854,96031,194,89806,1,13605,68,83,475,,
140480,575677,183,769130,1,171515,,,92,322730,
140480,575678,189,769131,1,171516,,,7,5216,
140480,575680,213,769133,1,171517,,,19,5352,
144327,619494,182,820167,1,183656,,,584,,
144327,619495,183,820168,1,183645,,,76,199580,
144327,619497,194,820170,1,183655,,,2336,132448,
67741,199260,184,207120,1,33560,,,37,4200,
67741,199261,188,207121,1,33130,,,6,6800,
90266,315743,194,389686,1,72500,60,150,63,,
90266,315744,196,389687,1,72498,60,140,150,,
29782,90036,242,80068,1,12589,,,4,500,
29782,90036,242,80069,2,12590,,,1,100,
144274,618477,242,819084,1,183376,,,6,1360,
144274,618477,242,819085,2,183377,,,1,120,
144292,618703,242,819352,1,183469,,,13,2000,
144292,618703,242,819353,2,183470,,,16,2800,
29942,91608,194,82621,1,12449,83,148,822,,
29942,91608,194,82622,2,12450,78,148,300,,
29935,91514,194,82454,1,12434,68,118,110,,
90314,315928,281,389871,1,72607,30,55,20,,
90314,315929,286,389872,1,72608,55,59,5,,
29827,90474,194,80761,1,12661,58,103,394,,
133978,530371,194,709353,1,159135,100,150,363,,
133978,530371,194,709354,2,159136,100,150,177,,
29840,90630,194,81019,1,12687,53,83,497,,
29840,90635,242,81028,1,12688,,,1,100,
133705,528878,181,707107,1,158804,93,139,155,,
133705,528879,194,707109,1,158805,68,99,376,,
30091,93056,284,85043,1,13013,38,93,50,,
30100,93127,242,85139,2,13022,,,3,1000,
30100,93128,311,85140,2,13023,,,5,65,
29860,90809,242,81300,1,12708,,,45,7500,
29860,90809,242,81301,2,12709,,,25,3700,
29858,90785,242,81262,2,12706,,,2,75,
29875,90955,194,81518,1,12764,63,103,800,,
29875,90961,242,81529,1,12765,,,1,50,
29875,90961,242,81530,2,12766,,,1,200,
30127,93290,242,85386,1,13043,,,1,350,
30158,93530,242,85778,1,13106,,,3,300,
30158,93530,242,85779,2,13108,,,4,400,
30158,93533,311,85782,1,13107,,,3,10,
30178,93694,242,86019,1,13142,,,14,2450,
30178,93694,242,86020,2,13144,,,17,4000,
30178,93696,311,86022,1,13143,,,1,15,
30178,93696,311,86023,2,13145,,,1,12,
30149,93469,242,85671,1,13087,,,26,3600,
30149,93469,242,85672,2,13088,,,2,300,
30004,92331,194,83848,1,12860,63,138,248,,
30004,92334,199,83853,1,12861,63,148,137,,
30046,92657,242,84379,1,12926,,,2,150,
30046,92657,242,84380,2,12927,,,2,400,
30066,92813,242,84647,1,12965,,,1,100,
30040,92627,242,84334,1,12917,,,5,1200,
30040,92627,242,84335,2,12918,,,1,100,
30058,92734,242,84510,1,12948,,,2,250,
30058,92734,242,84511,2,12949,,,1,100,
30061,92774,242,84584,2,12954,,,2,300,
30061,92774,242,84585,3,12955,,,1,150,
30034,92592,242,84284,1,12908,,,6,1600,
30034,92592,242,84285,2,12909,,,3,6300,
30038,92608,242,84309,1,12912,,,1,1000,
30038,92608,242,84310,2,12913,,,1,50,
30791,95456,283,88902,1,13550,33,83,90,,
30791,95457,286,88904,1,13551,83,103,70,,
30032,92582,242,84267,1,12907,,,2,250,
30071,92868,193,84732,1,12969,63,128,196,,
30086,93007,242,84960,1,13000,,,39,4000,
30086,93007,242,84961,2,13001,,,37,3800,
30080,92956,194,84878,1,12987,43,138,513,,
30080,92956,194,84879,2,12988,48,133,69,,
30084,92987,242,84928,1,12993,,,4,400,
30084,92987,242,84929,2,12994,,,2,200,
30024,92510,242,84144,2,12893,,,1,300,
30011,92398,242,83965,1,12874,,,3,150,
30011,92398,242,83966,2,12875,,,2,150,
30007,92363,242,83905,1,12868,,,1,50,
30007,92363,242,83906,2,12869,,,2,300,
144306,619038,281,819695,1,183575,,,20,,
144306,619039,283,819697,1,183576,,,30,,
30232,94064,242,86600,1,13242,,,2,250,
30232,94064,242,86601,2,13243,,,1,100,
29930,91463,211,82361,1,12424,63,103,107,,
29930,91465,242,82365,1,12425,,,3,100,
29925,91402,242,82260,1,12833,,,16,2300,
29925,91402,242,82261,2,12834,,,18,2700,
30191,93789,242,86158,1,13166,,,73,10600,
30191,93789,242,86159,2,13167,,,27,4000,
30180,93723,242,86063,1,13150,,,2,500,
30180,93723,242,86064,2,13152,,,1,400,
30180,93726,311,86067,1,13151,,,1,10,
30180,93726,311,86068,2,13153,,,3,30,
30202,93864,242,86284,1,13192,,,2,100,
30202,93864,242,86285,2,13193,,,1,50,
29638,102054,242,99709,1,14564,,,3,150,
29630,101997,194,99617,1,14552,58,103,268,,
29630,102002,242,99624,1,14553,,,2,100,
29630,102002,242,99625,2,14554,,,4,200,
29639,102065,242,99727,2,14565,,,12,2000,
140562,577002,194,770596,1,171756,60,150,1900,,
29672,102382,242,100267,1,14629,,,1,50,
29665,102306,242,100144,2,14616,,,1,100,
86923,302677,194,369717,1,68208,60,159,237,,
86923,302678,182,369719,1,68210,65,159,429,,
86923,302681,199,369725,1,68211,65,159,134,,
29547,101164,242,98237,1,14381,,,7,1100,
29547,101164,242,98238,2,14382,,,20,2400,
29547,101157,194,98224,1,14380,63,133,615,,
29548,101175,242,98258,2,14383,,,3,500,
29543,101115,242,98146,1,14369,,,2,300,
29543,101115,242,98147,2,14370,,,1,150,
29543,101115,242,98148,3,14371,,,3,450,
29575,101482,193,98750,1,14445,83,128,71,,
29575,101482,193,98751,2,14447,63,113,15,,
29575,101483,194,98752,1,14446,73,103,345,,
29575,101489,242,98761,2,14448,,,1,150,
29569,101409,242,98633,1,14435,,,187,22600,
29569,101409,242,98634,2,14436,,,70,7700,
29581,101561,194,98883,1,14457,53,103,557,,
29586,101612,242,98970,1,14478,,,7,2100,
29586,101612,242,98971,2,14479,,,5,1500,
29586,101608,194,98962,1,14477,73,153,750,,
29604,101776,182,99258,1,14522,53,88,69,,
29604,101782,242,99268,1,14523,,,1,300,
29604,101782,242,99269,2,14524,,,1,200,
150817,664587,194,880805,1,194077,70,130,288,,
